point: 2024-12-3 13:42:0 (60 seconds elapsed) | Message: 16 | Mode: GSM | ICCID: 4 | Latitude: 44.9927 | Longitude: 1.0788
point: 2024-12-3 13:43:0 (60 seconds elapsed) | Message: 17 | Mode: GSM | ICCID: 4 | Latitude: 44.9922 | Longitude: 1.0795
point: 2024-12-3 14:18:30 (2130 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1640
point: 2024-12-3 14:18:40 (10 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0708 | Longitude: 1.1640
point: 2024-12-3 14:18:50 (10 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0708 | Longitude: 1.1640
point: 2024-12-3 14:19:0 (10 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0708 | Longitude: 1.1639
point: 2024-12-3 14:19:10 (10 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0708 | Longitude: 1.1640
point: 2024-12-3 14:19:20 (10 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1640
point: 2024-12-3 14:19:30 (10 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1640
point: 2024-12-3 14:19:40 (10 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1640
point: 2024-12-3 14:19:50 (10 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1641
point: 2024-12-3 14:20:0 (10 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1641
point: 2024-12-3 14:20:10 (10 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1640
point: 2024-12-3 14:20:20 (10 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1639
point: 2024-12-3 14:20:30 (10 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0708 | Longitude: 1.1639
point: 2024-12-3 14:20:40 (10 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0708 | Longitude: 1.1640
point: 2024-12-3 14:21:10 (30 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0708 | Longitude: 1.1639
point: 2024-12-3 14:21:20 (10 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1639
point: 2024-12-3 14:21:30 (10 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0708 | Longitude: 1.1639
point: 2024-12-3 14:21:40 (10 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0708 | Longitude: 1.1640
point: 2024-12-3 14:21:50 (10 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0708 | Longitude: 1.1640
point: 2024-12-3 14:22:10 (20 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1640
point: 2024-12-3 14:22:20 (10 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1640
point: 2024-12-3 14:22:30 (10 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1640
point: 2024-12-3 14:22:40 (10 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1640
point: 2024-12-3 14:22:50 (10 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0708 | Longitude: 1.1639
point: 2024-12-3 14:23:10 (20 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1640
point: 2024-12-3 14:23:20 (10 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1640
point: 2024-12-3 14:23:30 (10 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1639
point: 2024-12-3 14:23:40 (10 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0706 | Longitude: 1.1639
point: 2024-12-3 14:23:50 (10 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1639
point: 2024-12-3 14:24:10 (20 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1639
point: 2024-12-3 14:24:20 (10 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1639
point: 2024-12-3 14:24:30 (10 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0708 | Longitude: 1.1639
point: 2024-12-3 14:24:40 (10 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0708 | Longitude: 1.1640
point: 2024-12-3 14:24:50 (10 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0708 | Longitude: 1.1640
point: 2024-12-3 14:25:10 (20 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1640
point: 2024-12-3 14:25:20 (10 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0707 | Longitude: 1.1640
point: 2024-12-3 14:25:30 (10 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0708 | Longitude: 1.1640
point: 2024-12-3 14:25:40 (10 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0708 | Longitude: 1.1640
point: 2024-12-3 14:25:50 (10 seconds elapsed) | Message: 18 | Mode: GSM | ICCID: 4 | Latitude: 45.0708 | Longitude: 1.1640
